company,index,industry,sap_jobs_count,score_industry,score_hiring,score_compliance,score_size,score_total,source_urls,snapshot_date
BASF,DAX,chemicals,0,3,0,3,3,9,https://en.wikipedia.org/wiki/DAX,2026-05-19
Bayer,DAX,pharmaceuticals,0,3,0,3,3,9,https://en.wikipedia.org/wiki/DAX,2026-05-19
Merck,DAX,pharmaceuticals,0,3,0,3,3,9,https://en.wikipedia.org/wiki/DAX,2026-05-19
Symrise,DAX,chemicals,0,3,0,3,3,9,https://en.wikipedia.org/wiki/DAX,2026-05-19
Airbus,DAX,aerospace & defence,0,3,0,2,3,8,https://en.wikipedia.org/wiki/DAX,2026-05-19
Allianz,DAX,financial services,0,2,0,3,3,8,https://en.wikipedia.org/wiki/DAX,2026-05-19
BMW,DAX,automotive,0,3,0,2,3,8,https://en.wikipedia.org/wiki/DAX,2026-05-19
Commerzbank,DAX,financial services,0,2,0,3,3,8,https://en.wikipedia.org/wiki/DAX,2026-05-19
Continental,DAX,automotive,0,3,0,2,3,8,https://en.wikipedia.org/wiki/DAX,2026-05-19
Daimler Truck,DAX,automotive,0,3,0,2,3,8,https://en.wikipedia.org/wiki/DAX,2026-05-19
Deutsche Bank,DAX,financial services,0,2,0,3,3,8,https://en.wikipedia.org/wiki/DAX,2026-05-19
Deutsche Börse,DAX,financial services,0,2,0,3,3,8,https://en.wikipedia.org/wiki/DAX,2026-05-19
E.ON,DAX,utilities,0,2,0,3,3,8,https://en.wikipedia.org/wiki/DAX,2026-05-19
Hannover Re,DAX,insurance,0,2,0,3,3,8,https://en.wikipedia.org/wiki/DAX,2026-05-19
Mercedes-Benz Group,DAX,automotive,0,3,0,2,3,8,https://en.wikipedia.org/wiki/DAX,2026-05-19
MTU Aero Engines,DAX,aerospace & defence,0,3,0,2,3,8,https://en.wikipedia.org/wiki/DAX,2026-05-19
Munich Re,DAX,financial services,0,2,0,3,3,8,https://en.wikipedia.org/wiki/DAX,2026-05-19
Porsche SE,DAX,automotive,0,3,0,2,3,8,https://en.wikipedia.org/wiki/DAX,2026-05-19
